Name,id,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,HB,BB,SO,WHIP,HLD,GF,Team
Joe Navilhon,667700,1,1,5.19,5,0,0,0,0,8.2,8,5,5,3,0,1,9,1.04,0,0,Toledo Mud Hens
Ryan Carpenter,543001,5,7,5.26,14,14,0,0,0,77.0,77,45,45,11,8,26,76,1.34,0,0,Toledo Mud Hens
Matt Hall,664180,5,4,5.30,25,13,0,0,0,86.2,102,58,51,16,3,31,106,1.53,1,5,Toledo Mud Hens
Spenser Watkins,657093,5,2,5.40,11,9,0,0,0,56.2,66,34,34,13,4,18,50,1.48,0,1,Toledo Mud Hens
Tyler Alexander,641302,4,9,5.72,17,15,0,0,0,85.0,105,55,54,18,8,18,94,1.45,0,0,Toledo Mud Hens
Edwin Jackson,429719,0,2,5.87,2,2,0,0,0,7.2,11,8,5,1,1,4,2,1.96,0,0,Toledo Mud Hens
Jose Manuel Fernandez,622774,1,1,5.97,27,1,0,0,0,34.2,40,24,23,5,0,16,24,1.62,5,6,Toledo Mud Hens
Eduardo Paredes,622161,1,1,6.75,9,0,0,0,0,12.0,10,11,9,1,0,9,11,1.58,1,2,Toledo Mud Hens
Trent Szkutnik,630241,0,0,6.75,9,0,0,0,0,13.1,16,11,10,1,1,9,12,1.88,0,3,Toledo Mud Hens
Gregory Soto,642397,0,3,6.94,6,5,0,0,0,23.1,25,19,18,2,2,13,30,1.63,0,0,Toledo Mud Hens
Sandy Baez,622783,1,0,7.36,18,0,0,0,0,22.0,27,19,18,1,0,14,18,1.86,0,3,Toledo Mud Hens
Jordan Zimmermann,519455,0,1,7.71,1,1,0,0,0,4.2,5,4,4,2,0,0,6,1.07,0,0,Toledo Mud Hens
Kyle Funkhouser,608335,2,6,8.08,14,14,0,0,0,49.0,62,51,44,3,2,37,50,2.02,0,0,Toledo Mud Hens
Victor Alcantara,622505,0,0,8.44,4,0,0,0,0,5.1,6,5,5,1,0,2,6,1.50,0,1,Toledo Mud Hens
Austin Adams,542866,0,2,9.22,10,0,0,0,1,13.2,17,15,14,3,2,5,12,1.61,0,3,Toledo Mud Hens
Zac Houston,667677,1,1,10.00,17,1,0,0,1,18.0,18,22,20,1,3,14,19,1.78,0,8,Toledo Mud Hens
Trevor Rosenthal,572096,0,0,10.13,6,0,0,0,0,5.1,8,6,6,2,1,6,9,2.63,1,0,Toledo Mud Hens
Paul Voelker,657081,0,0,10.13,2,0,0,0,0,2.2,5,3,3,0,0,1,2,2.25,0,0,Toledo Mud Hens
Nolan Blackwood,670154,0,0,21.00,3,0,0,0,0,3.0,6,7,7,1,0,4,3,3.33,2,0,Toledo Mud Hens
